id,comment,rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1542003,Melhor custo beneficio. Incrível, é o meu primeiro ultrawide, e meu primeiro monitor curvo,mas com uma ressalva.\nCurvatura de 1800R\nos pixels mais próximas ás 4 bordas apresentam dificuldade de visualização.\no monitor é de 160hz, não 165hz.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1542006,Monitor 2k da LG Adorando até o momento\nEstava atrás de um monitor ultrawide 2k. recebi a notícia que a LG estava lançando no Brasil esse monitor. Apenas de não ter reviews em nosso país por ser um produto novo. Pesquisei na gringa e o pessoal estava falando muito bem do monitor. Lógico que todo monitor tem seus pontos positivos e negativos, mas no geral os pontos positivos estavam se sobressaindo. decidi dar uma change e até porque consegui pegá-lo por uma ótima promoção e com cupom de desconto ficou em torno de R$2500,0, então o custo benefício valeu e pena. A imagem do monitor e expecional. Quando se liga o monitor e você joga em ultrawinde fica difícil você se imaginar voltando pra um monitor 16:9 novamente, realmente a imersão faz toda a diferença.\nSempre a questão do preço que se é praticado no Brasil. Peguei em uma excelente promoção mas mesmo assim é um alto valor, porém acredito que esse seja o monitor ultrawinde mais acessível para o público brasileiro. Tente pegar em uma promoção em R$2800,00. Peguei por R$2500,00 pois peguei no lançamento do produto no link do PC Facts e com Cupom de desconto.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545260,"Cumpre o que promete Antes de tudo, não optem pela entrega da GFL, um dos piores serviços de Logísticas que  já utilizei, só procurar avaliações por ai. Atraso em quase 5 dias e nenhum contato  onde você possa falar direito com um atendente. Só formulários que não são nunca  respondidos.  Quanto ao monitor, estou satisfeito por enquanto. Saí de um 25\ ultrawide 60hz que ainda estou usando como secundário. A diferença dos Hz é bem perceptível até  nas tarefas comuns do trabalho, a navegação é bem mais fluída. O som das caixinhas é bem ruim, só pra dizer que tem mesmo, provável que o som do meu celular é mais encorpado e alto do que a desse monitor, é quase uma \""caixa de abelha\"", mas quebra o galho quando quero ficar um pouco sem o headset na cabeça. O Black Smearing é alto se você deixar o  Estabilizador de Preto no 0, se aumentar no máximo o efeito é quase imperceptível, mas a imagem no geral fica bem lavada. O angulo de visão é bom, só percebo uma pequena alteração nas cores nas bordas quando tem uma imagem de cor sólida no fundo, mas como o monitor é feito pra você ficar  diretamente na frente, não vejo isso como um problema. Não vi muita diferença de cores para o meu antigo monitor (IPS).  No geral vale a compra.\nQualidade de imagem ideal \nResolução Alta\nFluidez \nSuporte bom e fácil de posicionar a tela\nTamanho excelente para Jogos/Produção\nAlto-falantes bem fracos\nBlack Smearing notável caso a Estabilização de Preto esteja desligada.""",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546368,Monitor excelente Produto é sem sombra de duvida de qualidade, tanto para trabalho no aumento da produtividade e jogos, por ser Quad hd e 160 fps, não 165 como esta no anuncio, vc tem uma taxa de frames excelentes.\nimagem, espaço para trabalho, jogabilidade impecável com seus 160 fps e sendo Quad hd.\nPreço bem salgado e não tem movimentação lateral, somente de altura e ângulo para cima e para baixo.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546871,Melhor custo benefício O monitor é realmente muito bom, e o preço na kabum está próximo ao valor do mesmo modelo na amazon USA\n- Excelente imagem, cores realmente impressionantes. Uma maravilha para assistir filmes.\n- Alto falantes embutidos. O som é alto, mas não espere grandes coisas, apenas quebra um galho. Estou achando a qualidade tão boa quanto as caixinhas de som logitech que eu tinha antes.\n- Alta taxa de atualização: 85hz nas portas HDMI e 160hz na display port. Isso faz com que seja uma ótima opção para jogos competitivos, especialmente pela display port que tem gsync/freesync (somente pela display port!)\n- Devido a alta resolução, os requerimentos de placa de vídeo aumentam. Se comprar, tenha certeza de que sua placa de vídeo tem display port (para poder utilizar 160hz). Para chegar a 85hz nas HDMI, a placa de vídeo deve suportar HDMI 2.0\n- Só vai jogar títulos recentes na resolução nativa em full screen se tiver uma rtx 3070 desktop pra cima. Algumas tecnologias como AMD FSR ou Nvidia DLSS podem aliviar esse requerimento.\n- Se for conectar via porta thunderbolt, tem que ter um dock bom para atingir 85hz. No meu caso, estou utilizando o Hagibis U100 pro e funciona perfeitamente.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546958,é um bom monitor Gostei do produto, mas esperava mais pelo valor\ngrande e bem acabado. a qualidade da imagem é sensacional.\nÉ mas a falta de alguns recursos que outros modelos da própria LG tem, que nesse por ser lançamento aqui no BR e pelo valor não tem.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547027,Excelente produto e custo benefício Uma das melhores opções de monitor QHD ultrawide do mercado, excelente para jogos, excelente qualidade de imagem, até o som do monitor é bom, muitos reclamam por não ser painel VA mas como já disse monitor ultrawide qhd por esse preço e de marca confiável é difícil de achar. Sai de um samsung 28 polegadas 4K e não me arrependo em nada\nQualidade de imagem, 160hz, boas cores, tempo de resposta, QHD ...\nPara meu uso que é mais em games, não sei dizer quais pontos negativos.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547166,Espetacular. Realmente o monitor é bom, estou muito satisfeito.\nNão tem nenhum defeito\n,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547650,ótimo monitor oferece a mesma qualidade de outros quad hd ultrawide,  por um preço menor. numa promoção vale demais\nqualidade\npreço mais em conta\nnenhum que tenha notado,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547705,"Otimo!!! Muito bom, pode comprar!\nTamanho\nMonitor dá uma ótima sensação de imersão\nÓtimo para jogar e trabalhar. \nSom do monitor quebra o galho,  não é \aquele som\"", mas não é ruim!! Parabéns a LG",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
